Date,Product,Quantity,Revenue
2023-10-02,Product C,4,215.51155927150975
2023-11-02,Product B,19,1789.0246655367441
2023-10-20,Product B,2,102.30298593947549
2023-02-23,Product B,7,491.6191504594839
2023-04-25,Product D,2,101.7733699076746
2023-09-28,Product D,7,416.6428045006079
2023-02-06,Product C,8,126.85836469329942
2023-04-11,Product C,12,1151.1244708465204
2023-04-24,Product C,14,1282.014047688769
2023-03-11,Product B,7,373.9370871904352
2023-08-24,Product C,17,1287.3756927342909
2023-10-16,Product C,19,1526.45153938733
2023-02-05,Product B,4,260.669930905897
2023-04-03,Product D,7,112.52823380809512
2023-07-12,Product A,1,28.52521661809262
2023-01-27,Product B,7,383.44711187861026
2023-05-15,Product D,13,513.3982430061001
2023-05-03,Product C,3,34.92246633749586
2023-12-15,Product B,10,912.8511074242299
2023-02-18,Product C,7,572.1973506773156
2023-03-28,Product D,11,172.7164256772811
2023-07-08,Product D,20,946.00850426599
2023-08-11,Product B,3,217.38953889587506
2023-08-23,Product B,14,818.2182544504387
2023-09-07,Product C,6,337.3113844012606
2023-04-17,Product D,12,1159.4586080509598
2023-10-09,Product B,11,111.27694572730529
2023-04-04,Product D,13,520.1368839336028
2023-11-10,Product C,3,41.32499482307382
2023-11-22,Product D,14,186.3666119888704
2023-11-22,Product B,6,394.4420075766371
2023-04-18,Product D,12,1138.58403279782
2023-03-14,Product D,18,246.2030035333876
2023-09-14,Product C,5,159.79727961491102
2023-11-29,Product B,6,163.37250151781393
2023-10-23,Product D,19,1641.58972399664
2023-09-03,Product D,17,1355.8279114172733
2023-12-18,Product D,16,522.5771291132269
2023-04-01,Product A,5,369.9219257166509
2023-02-17,Product A,2,157.85456439273793
2023-03-14,Product D,14,611.6909032573537
2023-11-25,Product B,1,61.186779615860274
2023-03-23,Product A,8,179.05416878781284
2023-10-23,Product D,18,903.8097001654256
2023-07-06,Product C,9,738.9390435936289
2023-10-18,Product D,4,331.5049017079841
2023-10-15,Product D,11,363.3537729149856
2023-07-31,Product B,4,55.647639241269744
2023-04-09,Product A,3,31.17862277120214
2023-05-01,Product A,6,342.5784369253389
2023-03-07,Product B,19,389.46673186915564
2023-03-27,Product C,3,257.5253466942113
2023-11-20,Product A,16,1020.0111151598414
2023-05-30,Product B,16,1456.0101970943856
2023-01-07,Product C,4,172.04620452141936
2023-04-29,Product C,5,202.71733870707664
2023-05-29,Product A,16,507.5912356588483
2023-04-06,Product A,15,1121.4342514188627
2023-09-13,Product D,5,474.3973601297887
2023-12-09,Product D,18,1087.9464514583108
2023-05-30,Product A,3,56.02274267761127
2023-12-04,Product B,3,40.23359528995562
2023-10-02,Product C,10,582.2916233537893
2023-08-17,Product C,1,17.361809267261776
2023-06-15,Product D,16,1204.1105385502397
2023-09-15,Product B,11,973.0774101840536
2023-01-04,Product A,15,685.1581555297583
2023-11-25,Product A,1,74.80509599103135
2023-09-10,Product C,1,63.57777430287783
2023-07-14,Product A,7,547.1632399985351
2023-02-04,Product D,20,1539.4850232837002
2023-12-01,Product B,8,723.1973170450384
2023-01-29,Product A,8,702.4867081042445
2023-09-27,Product C,11,274.83375485858846
2023-10-10,Product D,3,117.32035447256446
2023-11-25,Product C,14,420.1432515180982
2023-11-01,Product A,18,433.6887463416608
2023-01-10,Product C,19,1739.6227494772088
2023-05-25,Product D,18,1795.6525992347292
2023-12-12,Product A,6,407.0124084622702
2023-10-30,Product D,1,36.79754410262679
2023-07-11,Product D,17,1051.0303007926564
2023-11-20,Product C,10,311.94526921070224
2023-08-14,Product B,2,108.23332025014848
2023-10-27,Product B,18,1307.0882110171444
2023-07-18,Product A,2,181.97592741093996
2023-05-07,Product A,2,27.982085186013677
2023-06-28,Product A,17,1660.5428216368973
2023-05-14,Product B,16,1130.3951655486067
2023-09-15,Product D,5,273.9459402193765
2023-12-14,Product B,15,1293.3106111927268
2023-10-27,Product B,8,204.85644200310568
2023-10-26,Product C,18,444.9572832547376
2023-03-26,Product A,17,1539.6922800201587
2023-12-10,Product C,7,188.78974272251764
2023-12-04,Product D,1,76.49823376938826
2023-06-30,Product A,12,582.8274652161886
2023-11-01,Product B,5,102.19347849207546
2023-01-17,Product B,20,546.198731412468
2023-08-11,Product B,9,288.0635374853957
2023-09-28,Product A,2,71.97357832599263
2023-11-13,Product D,20,536.2496170065425
2023-08-24,Product C,2,163.48209345376148
2023-12-31,Product D,6,541.0016584475244
2023-09-19,Product D,10,847.2354739332387
2023-11-21,Product D,9,363.9319092095926
2023-02-16,Product A,3,203.30071163971087
2023-02-06,Product D,19,1754.438693920924
2023-12-04,Product B,14,558.9371809932775
2023-06-26,Product C,11,893.974952554303
2023-08-07,Product D,13,305.4317034650522
2023-03-26,Product C,1,16.049240072955307
2023-12-31,Product A,19,1244.0690972024445
2023-09-02,Product C,5,157.85471134740678
2023-03-26,Product B,14,410.36464093431954
2023-09-28,Product D,7,537.93138541284
2023-11-15,Product B,8,97.19924272105298
2023-01-12,Product A,19,609.3063750549202
2023-01-17,Product D,7,71.3736614587367
2023-11-18,Product A,6,147.36288952471998
2023-11-01,Product C,18,954.3659629815868
2023-08-03,Product D,1,70.0830276413891
2023-07-29,Product A,17,1209.8552198474204
2023-05-13,Product D,19,1738.2437441604911
2023-03-10,Product B,7,432.4921643319784
2023-03-08,Product B,12,354.80858929749684
2023-02-07,Product B,19,1670.311734776099
2023-09-18,Product A,18,388.6433628454741
2023-07-19,Product C,3,123.20310264126965
2023-06-09,Product D,4,311.74509278175594
2023-01-02,Product B,11,839.2844681131097
2023-02-18,Product A,15,318.82315800445525
2023-11-23,Product B,9,818.8613401587721
2023-04-21,Product A,1,26.619263473030284
2023-06-19,Product B,13,1115.8694463539068
2023-04-24,Product B,18,833.4628740082776
2023-08-09,Product D,12,259.8366120867684
2023-09-01,Product A,13,937.3124932137075
2023-05-13,Product A,11,801.0868547630121
2023-12-04,Product A,13,492.53852371153954
2023-12-20,Product D,7,517.0243215081857
2023-01-17,Product D,14,748.959357089655
2023-04-01,Product A,19,1258.7686287631404
2023-10-17,Product D,9,724.8431698137281
2023-12-26,Product D,4,185.08953343711107
2023-07-25,Product C,7,105.77085578788189
2023-08-21,Product B,9,116.72994238503509
2023-01-07,Product D,1,18.74137004592942
2023-10-12,Product A,15,615.949250311016
2023-07-21,Product C,6,405.7764447760213
2023-12-05,Product A,18,516.3328978390318
2023-12-25,Product A,3,54.795838741547875
2023-09-18,Product B,6,461.9192174971092
2023-10-06,Product B,20,1722.1979075790298
2023-06-14,Product C,19,1424.532160942345
2023-03-12,Product C,18,187.13211619439429
2023-09-10,Product A,18,1407.1169189556667
2023-10-11,Product C,15,273.42558819285995
2023-02-09,Product C,4,251.37992500231115
2023-06-02,Product C,16,354.9666798671178
2023-05-08,Product D,14,818.878272688773
2023-08-23,Product C,1,99.28437552365898
2023-09-10,Product D,17,1172.6075288156721
2023-01-15,Product B,4,58.46365104300496
2023-07-02,Product B,5,276.04837704614476
2023-09-09,Product C,12,1015.7480122445227
2023-05-04,Product A,6,270.114018565327
2023-02-26,Product A,2,183.93349520987474
2023-10-25,Product C,10,871.6686833483911
2023-09-11,Product A,9,654.5891974295541
2023-02-26,Product A,12,649.4417055176348
2023-05-30,Product B,7,587.6055351786478
2023-01-04,Product D,20,1635.596124190468
2023-10-03,Product B,15,1035.7602757465204
2023-11-20,Product A,10,365.3711586620832
2023-03-10,Product B,18,599.2289990575321
2023-09-16,Product A,6,94.80031682379742
2023-07-13,Product D,6,193.69029298628777
2023-12-19,Product C,2,63.43021727097963
2023-07-22,Product B,5,422.3901106478866
2023-07-04,Product C,12,1147.2982137546223
2023-11-07,Product A,20,1031.8135551886407
2023-08-01,Product A,13,825.0794445174183
2023-03-18,Product A,9,237.12628046065632
2023-05-16,Product A,5,298.5568096961094
2023-05-20,Product D,19,821.4052357190112
2023-10-16,Product A,16,1171.998946693019
2023-07-18,Product B,17,1165.1247919610337
2023-09-05,Product C,2,196.5991124552541
2023-06-21,Product B,18,455.61235683793586
2023-06-30,Product C,14,886.2439164853263
2023-10-21,Product C,4,321.7542718763569
2023-08-04,Product C,16,1133.3859151734093
2023-03-30,Product B,10,313.1020341660521
2023-12-05,Product D,4,95.80983904513644
2023-04-26,Product B,20,1707.6944142085938
2023-12-03,Product D,3,82.9381442779418
2023-07-04,Product D,3,169.779993127323
2023-04-27,Product D,9,300.5466004426085
2023-04-18,Product C,1,78.75305197646153
2023-02-23,Product C,16,651.0290253488996
2023-06-17,Product A,16,1422.982025157229
2023-02-17,Product D,15,1303.0020403454107
2023-05-19,Product A,6,285.5088564777468
2023-06-11,Product C,3,89.18399132139358
2023-02-06,Product B,19,840.5733810600279
2023-04-13,Product B,1,67.94946112753576
2023-09-03,Product A,8,571.3860033688015
2023-01-28,Product A,18,1796.3995564761883
2023-11-13,Product C,18,1268.7462496878375
2023-11-23,Product A,19,1617.801312653603
2023-09-14,Product C,19,1012.6938731682455
2023-10-01,Product D,6,454.8134290067954
2023-03-25,Product B,11,123.38225078529253
2023-11-27,Product D,12,668.5110967924925
2023-06-01,Product D,15,910.4835722435015
2023-06-26,Product D,7,667.4399891355229
2023-01-04,Product D,5,153.83168113426336
2023-07-14,Product A,1,96.88677416245991
2023-05-04,Product A,19,691.6439764399204
2023-09-11,Product D,11,156.04292783737466
2023-09-11,Product A,18,354.88714136655074
2023-04-29,Product D,3,147.259910951389
2023-02-10,Product B,14,953.0693399067816
2023-03-10,Product B,20,1952.7363703204628
2023-08-12,Product C,17,1181.4883994671923
2023-03-11,Product C,2,157.59533900162728
2023-09-07,Product B,19,1202.4750482019442
2023-07-23,Product C,5,121.91384483233243
2023-12-31,Product D,9,533.1834783815091
2023-11-11,Product C,14,1024.1212005494071
2023-06-08,Product B,12,425.34244793879486
2023-10-16,Product A,18,896.1103418155193
2023-05-06,Product B,11,172.89265991535748
2023-11-18,Product C,9,581.8810469578905
2023-12-16,Product C,8,187.53562625411777
2023-08-21,Product A,3,74.0200541398325
2023-06-06,Product D,12,330.06800427433
2023-03-31,Product A,14,252.75180265479702
2023-05-10,Product B,12,1060.5445162480878
2023-10-10,Product B,11,681.8950569738877
2023-08-02,Product C,17,701.3466608983188
2023-08-25,Product A,17,783.9987355585697
2023-09-29,Product B,5,96.75861498678002
2023-06-23,Product C,15,414.748163397395
2023-09-05,Product C,2,123.07857654364837
2023-11-22,Product C,20,574.0013485662275
2023-06-25,Product B,7,155.32247668605623
2023-11-10,Product C,10,218.77963529243084
2023-11-24,Product D,7,473.12625138806436
2023-04-10,Product D,9,786.8680353157273
2023-04-23,Product A,5,63.57713442004082
2023-01-26,Product B,15,732.9573931889485
2023-12-12,Product D,5,338.78556517530404
2023-06-02,Product B,14,1368.608603045824
2023-08-15,Product D,17,1069.065662714547
2023-06-07,Product B,11,571.8760756811126
2023-07-27,Product A,7,325.05267277113853
2023-03-25,Product B,10,718.4686097611259
2023-09-02,Product B,10,884.4776874202021
2023-11-22,Product D,20,846.0714045479663
2023-11-22,Product D,3,69.44917029839408
2023-04-13,Product C,18,387.37004153866917
2023-02-03,Product A,8,130.40236519946808
2023-05-24,Product A,10,455.30372034099264
2023-05-01,Product A,15,956.3474489039515
2023-09-02,Product D,9,868.5315658288898
2023-02-23,Product B,2,161.94652527570113
2023-10-18,Product D,18,746.8698781791246
2023-05-14,Product D,9,149.96999542768205
2023-08-24,Product B,14,589.8987014723602
2023-02-08,Product D,20,1330.2865126400402
2023-02-28,Product C,19,248.62799340448126
2023-12-25,Product C,3,114.80800179142423
2023-05-18,Product B,9,464.5990514955825
2023-06-24,Product A,16,1305.094932257561
2023-12-26,Product B,11,475.7047603376604
2023-11-25,Product B,6,543.7524840490394
2023-08-30,Product C,10,452.00116121901067
2023-12-06,Product D,7,212.8488845683471
2023-02-25,Product A,7,620.0649622005716
2023-06-19,Product A,15,1052.8323325987506
2023-09-17,Product B,20,1132.82430640292
2023-06-26,Product C,15,524.3875713839877
2023-09-19,Product A,19,1366.971555274742
2023-04-09,Product A,8,743.1021722414805
2023-04-19,Product A,14,760.941961410565
2023-06-24,Product D,16,1090.9025789585203
2023-10-24,Product A,16,681.5260606745534
2023-07-04,Product B,4,205.33153528379611
2023-07-28,Product B,18,258.1974810375902
2023-02-22,Product D,17,931.8877757818096
2023-05-24,Product B,8,336.88003091385895
2023-09-30,Product A,13,1113.4956589131064
2023-04-11,Product A,5,481.8162686595562
2023-04-11,Product C,1,14.909048198604264
2023-03-17,Product B,2,125.25331658456257
2023-10-02,Product D,18,1538.9778399277202
2023-07-21,Product C,8,113.59432640563367
2023-11-29,Product D,14,361.1968269517912
2023-04-07,Product A,5,219.12277558696894
2023-04-14,Product C,8,615.2670812870671
2023-10-17,Product B,5,332.01152113050864
2023-10-20,Product A,19,1752.2256992505454
2023-04-01,Product C,15,1163.5739676407857
2023-06-09,Product C,15,979.7878402321747
2023-05-08,Product D,8,704.4352083146707
2023-08-01,Product D,12,1167.4607791671822
2023-08-20,Product D,16,1249.4042847360179
2023-09-30,Product D,1,20.610748885124465
2023-04-01,Product A,4,150.265424420297
2023-09-12,Product D,19,1685.348492181294
2023-01-01,Product A,20,1374.8866519583933
2023-08-06,Product B,18,1151.3735078652742
2023-11-20,Product B,12,713.8847364425662
2023-11-19,Product D,1,72.57922303873758
2023-04-20,Product B,16,1401.7560324402502
2023-05-24,Product C,10,660.4325236156731
2023-08-10,Product C,18,1115.61222115093
2023-02-14,Product D,10,248.89405579959805
2023-01-26,Product C,19,1767.503000194561
2023-04-02,Product A,16,723.6048622469901
2023-08-27,Product A,3,239.37602509939535
2023-04-14,Product A,15,1239.1761384707258
